"Plot","Armadillidium_pictum","Armadillidium_vulgare","Ligidium_hypnorum","Oniscus_asellus","Philoscia_affinis","Philoscia_muscorum","Porcellio_scaber","Trichoniscus_provisorius","Trichoniscus_pusillus","Trichoniscus_sp."
1,0,0,102,60,0,70,292,0,2,0
2,0,0,0,0,0,4,0,0,0,0
3,0,0,32,1,0,15,0,0,2,1
4,0,0,1,34,0,35,10,0,3,0
5,0,0,0,15,0,30,5,0,0,0
6,0,0,3,26,0,20,17,0,6,0
7,0,0,1,5,0,3,2,0,20,0
8,0,0,0,14,0,8,0,0,2,0
9,0,0,7,20,6,36,2,0,9,0
10,0,0,2,13,2,30,2,0,0,0
11,0,0,4,43,5,14,2,0,0,0
12,0,0,0,73,8,20,1,0,3,0
13,0,0,0,20,5,7,0,0,0,0
14,0,0,0,39,0,6,0,1,21,0
15,0,0,0,26,2,1,2,0,1,0
16,0,0,1,40,9,20,7,0,1,0
17,0,0,0,6,2,78,20,0,8,0
18,0,0,618,28,8,145,54,6,29,0
19,0,0,45,22,4,20,40,0,1,0
20,0,0,22,8,0,23,129,0,0,0
21,0,0,56,0,0,65,9,0,2,0
22,0,0,0,19,0,37,20,0,0,0
23,0,0,2,13,0,19,8,0,0,0
24,0,0,8,21,0,14,9,0,2,0
25,0,0,774,35,0,45,24,0,4,0
26,0,0,0,4,0,175,199,2,1,0
27,0,1,865,9,0,99,217,0,20,0
28,0,1,3454,39,0,279,75,19,79,0
29,0,0,4,2,0,54,104,0,7,0
30,0,0,1730,80,0,565,151,2,78,0
31,0,0,1312,19,0,110,16,0,22,0
32,0,2,111,6,0,50,62,3,28,0
33,0,0,13,2,0,3,18,0,0,0
34,0,0,329,20,0,140,12,1,15,0
35,0,0,567,2,0,81,4,0,3,0
36,0,0,23,9,0,40,2,0,6,0
37,0,0,167,2,0,28,0,0,22,0
38,0,0,7,8,0,8,9,0,2,0
39,0,0,3,1,0,27,0,0,5,0
40,1,0,102,13,0,52,8,0,1,0
41,1,0,28,5,0,14,1,0,20,0
42,0,0,8,3,0,7,2,0,0,0
43,0,0,97,7,0,112,2,0,13,0
44,0,0,4,0,0,23,0,0,2,2
45,0,0,3,22,0,60,437,0,4,0
46,0,0,0,1,0,33,1,0,2,0
47,0,0,10,9,0,40,2,0,8,0
48,0,0,0,19,0,84,17,0,24,0
49,0,0,208,9,0,195,27,0,1,0
50,0,0,634,17,0,94,7,0,26,0
51,0,0,1403,61,0,222,42,0,13,0
52,0,0,0,6,0,29,19,0,0,0
53,0,0,0,7,0,24,24,0,4,0
